id,identifier,height,weight,base_experience,type_slot_1_identifier,type_slot_2_identifier,stats_hp,stats_attack,stats_defense,stats_special-attack,stats_special-defense,stats_speed,generation,aura_color,description
139,omastar,10,350,173,rock,water,70,60,125,115,70,55,1,blue,Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy， causing its movements to become too slow and ponderous.
140,kabuto,5,115,71,rock,water,30,80,90,55,45,55,1,brown,Kabuto is a Pokémon that has been regenerated from a fossil. However， in extremely rare cases， living examples have been discovered. The Pokémon has not changed at all for 300 million years.
141,kabutops,13,405,173,rock,water,60,115,105,65,70,80,1,brown,Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.
142,aerodactyl,18,590,180,rock,flying,80,105,65,60,75,130,1,purple,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.
143,snorlax,21,4600,189,normal,,160,110,65,65,110,30,1,black,Snorlax’s typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.
144,articuno,17,554,261,ice,flying,90,85,100,95,125,85,1,blue,Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result， it is said that when this Pokémon flies， snow will fall.
145,zapdos,16,526,261,electric,flying,90,90,85,125,90,100,1,yellow,Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.
146,moltres,20,600,261,fire,flying,90,100,90,125,85,90,1,yellow,Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured， it is said to dip its body in the molten magma of a volcano to burn and heal itself.
147,dratini,18,33,60,dragon,,41,64,45,50,50,50,1,blue,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.
148,dragonair,40,165,147,dragon,,61,84,65,70,70,70,1,blue,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.
149,dragonite,22,2100,270,dragon,flying,91,134,95,100,100,80,1,brown,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.
150,mewtwo,20,1220,306,psychic,,106,110,90,154,90,130,1,purple,Mewtwo is a Pokémon that was created by genetic manipulation. However， even though the scientific power of humans created this Pokémon’s body， they failed to endow Mewtwo with a compassionate heart.
151,mew,4,40,270,psychic,,100,100,100,100,100,100,1,pink,Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will， so it entirely avoids notice even if it approaches people.
152,chikorita,9,64,64,grass,,45,49,65,49,65,45,2,green,In battle， Chikorita waves its leaf around to keep the foe at bay. However， a sweet fragrance also wafts from the leaf， becalming the battling Pokémon and creating a cozy， friendly atmosphere all around.
153,bayleef,12,158,142,grass,,60,62,80,63,80,60,2,green,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.
154,meganium,18,1005,236,grass,,80,82,100,83,100,80,2,green,The fragrance of Meganium’s flower soothes and calms emotions. In battle， this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.
155,cyndaquil,5,79,62,fire,,39,52,43,60,50,65,2,yellow,Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However， if it is tired， the flames splutter fitfully with incomplete combustion.
156,quilava,9,190,142,fire,,58,64,58,80,65,80,2,yellow,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.
157,typhlosion,17,795,240,fire,,78,84,78,109,85,100,2,yellow,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.
158,totodile,6,95,63,water,,50,65,64,44,48,43,2,blue,Despite the smallness of its body， Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping， its bite has enough power to cause serious injury.
159,croconaw,11,250,142,water,,65,80,80,59,63,58,2,blue,Once Croconaw has clamped its jaws on its foe， it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks， they become impossible to remove when they have sunk in.
160,feraligatr,23,888,239,water,,85,105,100,79,83,78,2,blue,Feraligatr intimidates its foes by opening its huge mouth. In battle， it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.
161,sentret,8,60,43,normal,,35,46,34,35,45,20,2,brown,When Sentret sleeps， it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack， it becomes incapable of sleep due to fear.
162,furret,18,325,145,normal,,85,76,64,45,55,90,2,brown,Furret has a very slim build. When under attack， it can slickly squirm through narrow spaces and get away. In spite of its short limbs， this Pokémon is very nimble and fleet.
163,hoothoot,7,212,52,normal,flying,60,30,30,36,56,50,2,brown,Hoothoot has an internal organ that senses and tracks the earth’s rotation. Using this special organ， this Pokémon begins hooting at precisely the same time every day.
164,noctowl,16,408,155,normal,flying,100,50,50,76,96,70,2,brown,Noctowl never fails at catching prey in darkness. This Pokémon owes its success to its superior vision that allows it to see in minimal light， and to its soft， supple wings that make no sound in flight.
165,ledyba,10,108,53,bug,flying,40,20,30,40,80,55,2,red,Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pokémon conveys its feelings to others by altering the fluid’s scent.
166,ledian,14,356,137,bug,flying,55,35,50,55,110,85,2,red,It is said that in lands with clean air， where the stars fill the sky， there live Ledian in countless numbers. There is a good reason for this—the Pokémon uses the light of the stars as its energy.
167,spinarak,5,85,50,bug,poison,40,60,40,40,40,30,2,green,The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.
168,ariados,11,335,137,bug,poison,70,90,70,60,60,40,2,red,Ariados’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.
169,crobat,18,750,241,poison,flying,85,90,80,70,80,130,2,purple,Crobat sneaks up on its intended prey using wings that barely make a sound. This Pokémon rests by hanging on a tree branch with its rear legs that serve as wings.
170,chinchou,5,120,66,water,electric,75,38,38,56,56,67,2,blue,Chinchou’s two antennas are filled with cells that generate strong electricity. This Pokémon’s cells create so much electrical power， it even makes itself tingle slightly.
171,lanturn,12,225,161,water,electric,125,58,58,76,76,67,2,blue,Lanturn is known to emit light. If you peer down into the dark sea from a ship at night， you can sometimes see this Pokémon’s light rising from the depths where it swims. It gives the sea an appearance of a starlit night.
172,pichu,3,20,41,electric,,20,40,15,35,35,60,2,yellow,When Pichu plays with others， it may short out electricity with another Pichu， creating a shower of sparks. In that event， this Pokémon will begin crying， startled by the flash of sparks.
173,cleffa,3,30,44,fairy,,50,25,28,45,55,15,2,pink,On nights with many shooting stars， Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day， when these Pokémon quench their thirst with the morning dew.
174,igglybuff,3,10,42,normal,fairy,90,30,15,40,20,15,2,pink,Igglybuff has a soft and plushy body that feels very much like a marshmallow. From this body wafts a gently sweet fragrance that soothes and calms the emotions of its foes.
175,togepi,3,15,49,fairy,,35,20,65,40,65,20,2,blue,As its energy， Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell， then shares them with others.
176,togetic,6,32,142,fairy,flying,55,40,85,80,105,40,2,blue,Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart， it is said to appear and share its happiness with that person.
177,natu,2,20,64,psychic,flying,40,50,45,70,45,70,2,green,Natu has a highly developed jumping ability. The Pokémon flaps and leaps onto tree branches that are taller than grown-up people to pick at the tree’s new shoots.
178,xatu,15,150,165,psychic,flying,65,75,70,95,70,95,2,green,Xatu is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical Pokémon out of their belief that Xatu is in possession of the power to see into the future.
179,mareep,6,78,56,electric,,55,40,40,65,45,35,2,blue,Mareep’s fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged， the more brightly the lightbulb at the tip of its tail glows.
180,flaaffy,8,133,128,electric,,70,55,55,80,60,45,2,pink,Flaaffy’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.
181,ampharos,14,615,230,electric,,90,75,85,115,90,55,2,yellow,Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.
182,bellossom,4,58,221,grass,,75,80,95,90,100,50,2,green,A Bellossom grows flowers more beautifully if it has evolved from a smelly Gloom—the more stinky the better. At night， this Pokémon closes its petals and goes to sleep.
183,marill,4,85,88,water,fairy,70,20,50,20,50,40,2,blue,When fishing for food at the edge of a fast-running stream， Marill wraps its tail around the trunk of a tree. This Pokémon’s tail is flexible and configured to stretch.
184,azumarill,8,285,189,water,fairy,100,50,80,60,80,50,2,blue,Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokémon. The air balloons enable the Pokémon in trouble to breathe.
185,sudowoodo,12,380,144,rock,,70,100,115,30,65,30,2,brown,Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However， because its hands remain green throughout the year， the Pokémon is easily identified as a fake during the winter.
186,politoed,11,339,225,water,,90,75,75,90,100,70,2,green,The curled hair on Politoed’s head is proof of its status as a king. It is said that the longer and more curled the hair， the more respect this Pokémon earns from its peers.
187,hoppip,4,5,50,grass,flying,35,35,40,35,55,50,2,pink,This Pokémon drifts and floats with the wind. If it senses the approach of strong winds， Hoppip links its leaves with other Hoppip to prepare against being blown away.
188,skiploom,6,10,119,grass,flying,55,45,50,45,65,80,2,green,Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason， this Pokémon is sometimes used as a thermometer.
189,jumpluff,8,30,207,grass,flying,75,55,70,55,95,110,2,blue,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.
190,aipom,8,115,72,normal,,55,70,55,40,55,85,2,purple,Aipom’s tail ends in a hand-like appendage that can be cleverly manipulated. However， because the Pokémon uses its tail so much， its real hands have become rather clumsy.
191,sunkern,3,18,36,grass,,30,30,30,30,30,30,2,yellow,Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing， subsisting only on morning dew.
192,sunflora,8,85,149,grass,,75,75,55,105,85,30,2,yellow,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.
193,yanma,12,380,78,bug,flying,65,65,45,75,45,95,2,red,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.
194,wooper,4,85,42,water,ground,55,45,45,25,25,15,2,blue,Wooper usually lives in water. However， it occasionally comes out onto land in search of food. On land， it coats its body with a gooey， toxic film.
195,quagsire,14,750,151,water,ground,95,85,85,65,65,35,2,blue,Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move， it does not get very hungry.
196,espeon,9,265,184,psychic,,65,65,60,130,95,110,2,purple,Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.
197,umbreon,10,270,184,dark,,95,65,110,60,130,65,2,black,Umbreon evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.
198,murkrow,5,21,81,dark,flying,60,85,42,85,42,91,2,black,Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.
199,slowking,20,795,172,water,psychic,95,75,80,100,110,30,2,pink,Slowking undertakes research every day in an effort to solve the mysteries of the world. However， this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off.
200,misdreavus,7,10,87,ghost,,60,60,60,85,85,85,2,gray,Misdreavus frightens people with a creepy， sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition.
201,unown,5,50,118,psychic,,48,72,48,72,48,48,2,black,This Pokémon is shaped like ancient writing. It is a mystery as to which came first， the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.
202,wobbuffet,13,285,142,psychic,,190,33,58,33,58,33,2,blue,Wobbuffet does nothing but endure attacks—it won’t attack on its own. However， it won’t endure an attack on its tail. When that happens， the Pokémon will try to take the foe with it using Destiny Bond.
203,girafarig,15,415,159,normal,psychic,70,80,65,90,65,85,2,yellow,Girafarig’s rear head contains a tiny brain that is too small for thinking. However， the rear head doesn’t need to sleep， so it can keep watch over its surroundings 24 hours a day.
204,pineco,6,72,58,bug,,50,65,90,35,35,15,2,gray,Pineco hangs from a tree branch and patiently waits for prey to come along. If the Pokémon is disturbed while eating by someone shaking its tree， it drops down to the ground and explodes with no warning.
205,forretress,12,1258,163,bug,steel,75,90,140,60,60,40,2,purple,Forretress conceals itself inside its hardened steel shell. The shell is opened when the Pokémon is catching prey， but it does so at such a quick pace that the shell’s inside cannot be seen.
206,dunsparce,15,140,145,normal,,100,70,70,65,65,45,2,yellow,Dunsparce has a drill for its tail. It uses this tail to burrow into the ground backward. This Pokémon is known to make its nest in complex shapes deep under the ground.
207,gligar,11,648,86,ground,flying,65,75,105,35,65,85,2,purple,Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs， then injects the prey with its poison barb.
208,steelix,92,4000,179,steel,ground,75,85,200,55,65,30,2,gray,Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth’s core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.
209,snubbull,6,78,60,fairy,,60,80,50,40,40,30,2,pink,By baring its fangs and making a scary face， Snubbull sends smaller Pokémon scurrying away in terror. However， this Pokémon seems a little sad at making its foes flee.
210,granbull,14,487,158,fairy,,90,120,75,60,60,45,2,purple,Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy， causing the Pokémon to tip its head back for balance. Unless it is startled， it will not try to bite indiscriminately.
211,qwilfish,5,39,86,water,poison,65,95,75,55,55,85,2,gray,Qwilfish sucks in water， inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.
212,scizor,18,1180,175,bug,steel,70,130,100,55,80,65,2,red,Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature.
213,shuckle,6,205,177,bug,rock,20,10,230,10,230,5,2,yellow,Shuckle quietly hides itself under rocks， keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.
214,heracross,15,540,175,bug,fighting,80,125,75,40,95,85,2,blue,Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree， giving the Pokémon a secure and solid footing to forcefully fling away foes with its proud horn.
215,sneasel,9,280,86,dark,ice,55,95,55,35,75,115,2,black,Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away.
216,teddiursa,6,88,66,normal,,60,80,50,50,50,40,2,brown,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.
217,ursaring,18,1258,175,normal,,90,130,75,75,75,55,2,brown,In the forests inhabited by Ursaring， it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.
218,slugma,7,350,50,fire,,40,40,40,70,40,20,2,red,Slugma does not have any blood in its body. Instead， intensely hot magma circulates throughout this Pokémon’s body， carrying essential nutrients and oxygen to its organs.
219,magcargo,8,550,144,fire,rock,50,50,120,80,80,30,2,red,Magcargo’s body temperature is approximately 18，000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain， the raindrops instantly turn into steam， cloaking the area in a thick fog.
220,swinub,4,65,50,ice,ground,50,50,40,30,30,50,2,brown,Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.
221,piloswine,11,558,158,ice,ground,100,100,80,60,60,50,2,brown,Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.
222,corsola,6,50,133,water,rock,55,55,85,65,85,35,2,pink,Clusters of Corsola congregate in warm seas where they serve as ideal hiding places for smaller Pokémon. When the water temperature falls， this Pokémon migrates to the southern seas.
223,remoraid,6,120,60,water,,35,65,35,65,35,65,2,gray,Remoraid sucks in water， then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near， this Pokémon travels downstream from rivers.
224,octillery,9,285,168,water,,75,105,75,105,75,45,2,red,Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong， Octillery spews ink to escape.
225,delibird,9,160,116,ice,flying,45,55,45,65,45,75,2,red,Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world’s highest mountain， thanks to one of these Pokémon sharing its food.
226,mantine,21,2200,163,water,flying,65,40,70,80,140,70,2,purple,On sunny days， schools of Mantine can be seen elegantly leaping over the sea’s waves. This Pokémon is not bothered by the Remoraid that hitches rides.
227,skarmory,17,505,163,steel,flying,65,80,140,40,70,70,2,gray,Skarmory’s steel wings become tattered and bashed in from repeated battles. Once a year， the battered wings grow back completely， restoring the cutting edges to their pristine state.
228,houndour,6,108,66,dark,fire,45,60,30,80,50,65,2,black,Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokémon’s remarkable teamwork is unparalleled.
229,houndoom,14,350,175,dark,fire,75,90,50,110,80,95,2,black,In a Houndoom pack， the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves.
230,kingdra,18,1520,243,water,dragon,75,95,95,95,95,85,2,blue,Kingdra sleeps on the seafloor where it is otherwise devoid of life. When a storm arrives， the Pokémon is said to awaken and wander about in search of prey.
231,phanpy,5,335,66,ground,,90,60,60,40,40,40,2,blue,Phanpy uses its long nose to shower itself. When others gather around， they thoroughly douse each other with water. These Pokémon can be seen drying their soaking-wet bodies at the edge of water.
232,donphan,11,1200,175,ground,,90,120,120,60,60,50,2,gray,If Donphan were to tackle with its hard body， even a house could be destroyed. Using its massive strength， the Pokémon helps clear rock and mud slides that block mountain trails.
233,porygon2,6,325,180,normal,,85,80,90,105,95,60,2,red,Porygon2 was created by humans using the power of science. The man-made Pokémon has been endowed with artificial intelligence that enables it to learn new gestures and emotions on its own.
234,stantler,14,712,163,normal,,73,95,62,85,65,85,2,brown,Stantler’s magnificent antlers were traded at high prices as works of art. As a result， this Pokémon was hunted close to extinction by those who were after the priceless antlers.
235,smeargle,12,580,88,normal,,55,20,35,20,45,75,2,blue,Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5，000 different marks left by this Pokémon have been found.
236,tyrogue,7,210,42,fighting,,35,35,35,35,35,35,2,purple,Tyrogue becomes stressed out if it does not get to train every day. When raising this Pokémon， the Trainer must establish and uphold various training methods.
237,hitmontop,14,480,159,fighting,,50,95,95,35,110,70,2,brown,Hitmontop spins on its head at high speed， all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking.
238,smoochum,4,60,61,ice,psychic,45,30,15,85,65,65,2,pink,Smoochum actively runs about， but also falls quite often. Whenever the chance arrives， it will look for its reflection to make sure its face hasn’t become dirty.
239,elekid,6,235,72,electric,,45,63,37,65,55,95,2,yellow,Elekid stores electricity in its body. If it touches metal and accidentally discharges all its built-up electricity， this Pokémon begins swinging its arms in circles to recharge itself.
240,magby,7,214,73,fire,,45,75,37,70,55,83,2,red,Magby’s state of health is determined by observing the fire it breathes. If the Pokémon is spouting yellow flames from its mouth， it is in good health. When it is fatigued， black smoke will be mixed in with the flames.
241,miltank,12,755,172,normal,,95,80,105,40,70,100,2,pink,Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike. People who can’t drink milk turn it into yogurt and eat it instead.
242,blissey,15,468,608,normal,,255,10,10,75,135,55,2,pink,Blissey senses sadness with its fluffy coat of fur. If it does so， this Pokémon will rush over to a sad person， no matter how far away， to share a Lucky Egg that brings a smile to any face.
243,raikou,19,1780,261,electric,,90,85,75,115,100,115,2,yellow,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.
244,entei,21,1980,261,fire,,115,115,85,90,75,100,2,brown,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.
245,suicune,20,1870,261,water,,100,75,115,90,115,85,2,blue,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.
246,larvitar,6,720,60,rock,ground,50,64,50,45,50,41,2,green,Larvitar is born deep under the ground. To come up to the surface， this Pokémon must eat its way through the soil above. Until it does so， Larvitar cannot see its parents.
247,pupitar,12,1520,144,rock,ground,70,84,70,65,70,51,2,gray,Pupitar creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable—it avoids damage even if it hits solid steel.
248,tyranitar,20,2020,270,rock,dark,100,134,110,95,100,61,2,green,Tyranitar is so overwhelmingly powerful， it can bring down a whole mountain to make its nest. This Pokémon wanders about in mountains seeking new opponents to fight.
249,lugia,52,2160,306,psychic,flying,106,90,130,90,154,110,2,blue,Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result， this Pokémon chooses to live out of sight deep under the sea.
250,ho-oh,38,1990,306,fire,flying,106,130,90,110,154,90,2,red,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.
251,celebi,6,50,270,psychic,grass,100,100,100,100,100,100,2,green,This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears， a bright and shining future awaits us.
252,treecko,5,50,62,grass,,40,45,35,65,55,70,3,green,Treecko is cool， calm， and collected—it never panics under any situation. If a bigger foe were to glare at this Pokémon， it would glare right back without conceding an inch of ground.
253,grovyle,9,216,142,grass,,50,65,45,85,65,95,3,green,This Pokémon adeptly flies from branch to branch in trees. In a forest， no Pokémon can ever hope to catch a fleeing Grovyle however fast they may be.
254,sceptile,17,522,239,grass,,70,85,65,105,85,120,3,green,Sceptile has seeds growing on its back. They are said to be bursting with nutrients that revitalize trees. This Pokémon raises the trees in a forest with loving care.
255,torchic,4,25,62,fire,,45,60,40,70,50,45,3,red,Torchic has a place inside its body where it keeps its flame. Give it a hug—it will be glowing with warmth. This Pokémon is covered all over by a fluffy coat of down.
256,combusken,9,195,142,fire,fighting,60,85,60,85,60,55,3,red,Combusken battles with the intensely hot flames it spews from its beak and with outstandingly destructive kicks. This Pokémon’s cry is very loud and distracting.
257,blaziken,19,520,239,fire,fighting,80,120,70,110,70,80,3,red,Blaziken has incredibly strong legs—it can easily clear a 30-story building in one leap. This Pokémon’s blazing punches leave its foes scorched and blackened.
258,mudkip,4,76,62,water,,50,70,50,50,50,40,3,blue,In water， Mudkip breathes using the gills on its cheeks. If it is faced with a tight situation in battle， this Pokémon will unleash its amazing power—it can crush rocks bigger than itself.
259,marshtomp,7,280,142,water,ground,70,85,70,60,70,50,3,blue,Marshtomp is much faster at traveling through mud than it is at swimming. This Pokémon’s hindquarters exhibit obvious development， giving it the ability to walk on just its hind legs.
260,swampert,15,819,241,water,ground,100,110,90,85,90,60,3,blue,Swampert predicts storms by sensing subtle differences in the sounds of waves and tidal winds with its fins. If a storm is approaching， it piles up boulders to protect itself.
261,poochyena,5,136,44,dark,,35,55,35,30,30,35,3,gray,Poochyena is an omnivore—it will eat anything. A distinguishing feature is how large its fangs are compared to its body. This Pokémon tries to intimidate its foes by making the hair on its tail bristle out.
262,mightyena,10,370,147,dark,,70,90,70,60,60,70,3,gray,Mightyena travel and act as a pack in the wild. The memory of its life in the wild compels the Pokémon to obey only those Trainers that it recognizes to possess superior skill.
263,zigzagoon,4,175,48,normal,,38,30,41,30,41,60,3,brown,The hair on Zigzagoon’s back is bristly. It rubs the hard back hair against trees to leave its territorial markings. This Pokémon may play dead to fool foes in battle.
264,linoone,5,325,147,normal,,78,70,61,50,61,100,3,blue,When hunting， Linoone will make a beeline straight for the prey at a full run. While this Pokémon is capable of topping 60 mph， it has to come to a screeching halt before it can turn.
265,wurmple,3,36,39,bug,,45,45,35,20,30,20,3,red,Wurmple is targeted by Swellow as prey. This Pokémon will try to resist by pointing the spikes on its rear at the attacking predator. It will weaken the foe by leaking poison from the spikes.
266,silcoon,6,100,72,bug,,50,35,55,25,25,15,3,blue,Silcoon was thought to endure hunger and not consume anything before its evolution. However， it is now thought that this Pokémon slakes its thirst by drinking rainwater that collects on its silk.
267,beautifly,10,284,178,bug,flying,60,70,50,100,50,65,3,yellow,Beautifly has a long mouth like a coiled needle， which is very convenient for collecting pollen from flowers. This Pokémon rides the spring winds as it flits around gathering pollen.
268,cascoon,7,115,41,bug,,50,35,55,25,25,15,3,purple,If it is attacked， Cascoon remains motionless however badly it may be hurt. It does so because if it were to move， its body would be weak upon evolution. This Pokémon will also not forget the pain it endured.
269,dustox,12,316,135,bug,poison,60,50,70,50,90,65,3,green,When Dustox flaps its wings， a fine dust is scattered all over. This dust is actually a powerful poison that will even make a pro wrestler sick. This Pokémon searches for food using its antennae like radar.
270,lotad,5,26,44,water,grass,40,30,30,40,50,30,3,green,Lotad is said to have dwelled on land before. However， this Pokémon is thought to have returned to water because the leaf on its head grew large and heavy. It now lives by floating atop the water.
271,lombre,12,325,119,water,grass,60,50,50,60,70,50,3,green,Lombre’s entire body is covered by a slippery， slimy film. It feels horribly unpleasant to be touched by this Pokémon’s hands. Lombre is often mistaken for a human child.
272,ludicolo,15,550,216,water,grass,80,70,70,90,100,70,3,green,Upon hearing an upbeat and cheerful rhythm， the cells in Ludicolo’s body become very energetic and active. Even in battle， this Pokémon will exhibit an amazing amount of power.
273,seedot,5,40,44,grass,,40,40,50,30,30,30,3,brown,Seedot looks exactly like an acorn when it is dangling from a tree branch. It startles other Pokémon by suddenly moving. This Pokémon polishes its body once a day using leaves.
274,nuzleaf,10,280,119,grass,dark,70,70,40,60,40,60,3,brown,This Pokémon pulls out the leaf on its head and makes a flute with it. The sound of Nuzleaf’s flute strikes fear and uncertainty in the hearts of people lost in a forest.
275,shiftry,13,596,216,grass,dark,90,100,60,90,60,80,3,brown,Shiftry’s large fans generate awesome gusts of wind at a speed close to 100 feet per second. The whipped-up wind blows anything away. This Pokémon chooses to live quietly deep in forests.
276,taillow,3,23,54,normal,flying,40,55,30,30,30,85,3,blue,Taillow is young—it has only just left its nest. As a result， it sometimes becomes lonesome and cries at night. This Pokémon feeds on Wurmple that live in forests.
277,swellow,7,198,151,normal,flying,60,85,60,50,50,125,3,blue,Swellow is very conscientious about the upkeep of its glossy wings. Once two Swellow are gathered， they diligently take care of cleaning each other’s wings.
278,wingull,6,95,54,water,flying,40,30,30,55,30,85,3,blue,Wingull rides updrafts rising from the sea by extending its long and narrow wings to glide. This Pokémon’s long beak is useful for catching prey.
279,pelipper,12,280,151,water,flying,60,50,100,85,70,65,3,yellow,Pelipper searches for food while in flight by skimming the wave tops. This Pokémon dips its large bill in the sea to scoop up food， then swallows everything in one big gulp.
280,ralts,4,66,40,psychic,fairy,28,25,25,45,35,40,3,blue,Ralts has the ability to sense the emotions of people. If its Trainer is in a cheerful mood， this Pokémon grows cheerful and joyous in the same way.
